Year,Week,Day,Number of Customer Acquired,Active customer base,Customer Churn,Customer Churn %,Churn by Product- Bank %,Churn by Product- Cards %,Churn Product- Investment %,Reason for Churn - Service (%),Reason for Churn - Price (%),Churn customer Average Month on Book
2021,1,1,35756.0,6000000.0,35756,0.714990513,30.0,30.0,40.0,50.0,50.0,36.0
2021,1,2,35763.0,6000000.0,35763,0.714990513,29.98998999,30.04004004,39.96996997,50.04004004,49.95995996,35.97
2021,1,3,35767.0,6000000.0,35767,0.714990513,29.97997998,30.08008008,39.93993994,50.08008008,49.91991992,35.94
2021,1,4,51389.0,6000000.0,51389,0.943396226,29.96996997,30.12012012,39.90990991,50.12012012,49.87987988,35.91
2021,1,5,51847.0,6000000.0,51847,0.763358779,29.95995996,30.16016016,39.87987988,50.16016016,49.83983984,35.88
2021,1,6,52312.0,6000000.0,52312,0.588235294,29.94994995,30.2002002,39.84984985,50.2002002,49.7997998,35.85
2021,1,7,52777.0,6000000.0,52777,0.564971751,29.93993994,30.24024024,39.81981982,50.24024024,49.75975976,35.82
2021,2,1,53240.0,6000000.0,53240,1.025641026,29.92992993,30.28028028,39.78978979,50.28028028,49.71971972,35.79
2021,2,2,53698.0,6000000.0,53698,0.888888889,29.91991992,30.32032032,39.75975976,50.32032032,49.67967968,35.76
2021,2,3,54163.0,6000000.0,54163,0.729927007,29.90990991,30.36036036,39.72972973,50.36036036,49.63963964,35.73
2021,2,4,54626.0,6000000.0,54626,1.016949153,29.8998999,30.4004004,39.6996997,50.4004004,49.5995996,35.7
2021,2,5,55089.0,6000000.0,55089,0.923076923,29.88988989,30.44044044,39.66966967,50.44044044,49.55955956,35.67
2021,2,6,55548.0,6000000.0,55548,0.890207715,29.87987988,30.48048048,39.63963964,50.48048048,49.51951952,35.64
2021,2,7,56007.0,6000000.0,56007,1.052631579,29.86986987,30.52052052,39.60960961,50.52052052,49.47947948,35.61
2021,3,1,56469.0,6000000.0,56469,0.997506234,29.85985986,30.56056056,39.57957958,50.56056056,49.43943944,35.58
2021,3,2,56928.0,6000000.0,56928,0.956937799,29.84984985,30.6006006,39.54954955,50.6006006,49.3993994,35.55
2021,3,3,57391.0,6000000.0,57391,1.086956522,29.83983984,30.64064064,39.51951952,50.64064064,49.35935936,35.52
2021,3,4,57856.0,6000000.0,57856,1.01010101,29.82982983,30.68068068,39.48948949,50.68068068,49.31931932,35.49
2021,3,5,58319.0,6000000.0,58319,1.123595506,29.81981982,30.72072072,39.45945946,50.72072072,49.27927928,35.46
2021,3,6,58783.0,6000000.0,58783,1.096892139,29.80980981,30.76076076,39.42942943,50.76076076,49.23923924,35.43
2021,3,7,59245.0,6000000.0,59245,1.174496644,29.7997998,30.8008008,39.3993994,50.8008008,49.1991992,35.4
